table_name,field_name,language,translation,record_id,record_sub_id,field_value
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10739440:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741430:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741460:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741470:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741490:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741500:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741520:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741540:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741560:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741580:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741600:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741620:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741640:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741660:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741680:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741700:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741720:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741740:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741760:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741780:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10741800:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10749500:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750280:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750300:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750320:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750340:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750360:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750380:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750400:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750420:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750440:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750460:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750480:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750500:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750520:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750540:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750560:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750580:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750600:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750620:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750640:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750660:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750680:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750700:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750720:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750740:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750760:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750780:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750800:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750820:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750840:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750860:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750880:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750900:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10750920:,,
