,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,Income_Percentile,O_long,O_lat,D_long,D_lat
1031,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Autobús urbano,17:00,22,Donostia/San Sebastian,1,2,1,Hogar de una persona,2,3,1,1,2021,25279.185,3,-1.9920059636125746,43.313593075374335,-2.033693,43.256347
1032,Donostialdea,Donostialdea,Errenteria,Errenteria,Coche conductor,08:20,22,Errenteria,2,2,1,2 adultos con niño(s),2,4,1,1,2021,19930.2,1,-1.9126423437185605,43.3121802208594,-2.033693,43.256347
1033,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Andando,13:00,23,Donostia/San Sebastian,2,1,1,2 adultos con niño(s),2,6,1,2,2021,20408.15,1,-1.9545000616356754,43.318831220416335,-2.033693,43.256347
1034,Donostialdea,Debagoiena,Usurbil,Bergara,Coche conductor,06:00,22,Usurbil,2,4,1,Otros hogares sin niños,2,4,1,1,2021,25997.26,3,-2.053429993813487,43.272817722783245,-2.033693,43.256347
1035,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Andando,07:40,22,Donostia/San Sebastian,2,2,1,Otros hogares con niños,2,5,1,1,2021,23928.46,2,-2.0043435775593093,43.30051309836862,-2.033693,43.256347
1036,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,15:00,22,Donostia/San Sebastian,2,2,1,Otros hogares con niños,1,4,1,1,2021,21489.35,1,-1.9538384756543334,43.293456560913505,-2.033693,43.256347
1037,Debabarrena,Debabarrena,Eibar,Eibar,Andando,12:30,22,Eibar,2,2,3,Otros hogares sin niños,2,6,1,1,2021,21729.57,1,-2.47251152208591,43.180405899526406,-2.033693,43.256347
1038,Goierri                              ,Urola Kosta       ,Urretxu,Azkoitia,Coche conductor,10:30,22,Urretxu,2,2,1,1 adulto con niño(s),2,4,1,1,2021,25290.51,2,-2.3195062110551325,43.09060242547355,-2.033693,43.256347
1039,Urola Kosta       ,Urola Kosta       ,Zarautz,Zarautz,Coche conductor,09:05,22,Zarautz,2,3,2,Otros hogares con niños,1,4,1,1,2021,24322.46,2,-2.1628605983716302,43.28683065063537,-2.033693,43.256347
1040,Goierri                              ,Goierri                              ,Urretxu,Urretxu,Andando,13:30,22,Urretxu,2,3,1,Otros hogares con niños,2,5,1,1,2021,25977.81,3,-2.3197404929237484,43.09041457813757,-2.033693,43.256347
1041,Donostialdea,Donostialdea,Donostia/San Sebastian,Pasaia,RENFE,15:00,22,Pasaia,1,2,1,2 adultos,2,5,1,1,2021,22486.22,1,-1.9682587470512594,43.317979235326256,-2.033693,43.256347
1042,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Moto,12:00,21,Donostia/San Sebastian,2,2,3,Otros hogares con niños,2,4,1,2,2021,25804.66,3,-1.9870595540347629,43.32340530896393,-2.033693,43.256347
1043,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche pasajero,15:30,22,Donostia/San Sebastian,1,2,1,Hogar de una persona,1,4,1,2,2021,27945.86,4,-1.9816723885921008,43.32354132605807,-2.033693,43.256347
1044,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,06:30,23,Donostia/San Sebastian,1,2,1,2 adultos,1,5,1,1,2021,23719.7,2,-1.9391025337615593,43.31734825633224,-2.033693,43.256347
